trial_number,value,state,max_depth,min_child_weight,gamma,learning_rate,n_estimators,subsample,colsample_bytree,colsample_bylevel,reg_alpha,reg_lambda
90,12.80676851550321,COMPLETE,9,2,2.9968108176814168,0.03661405597690527,183,0.8974240715985108,0.7273778906540301,0.9403096003807706,5.2675437281468405,9.601667295601903
91,12.79886506342556,COMPLETE,8,2,2.0725790699133935,0.040623154631728775,151,0.9385516853227841,0.7738905758103047,0.9854796320153272,4.855496793272387,9.672437538409216
92,12.794935058533097,COMPLETE,8,2,2.158228889853614,0.04097163342558585,152,0.9913278174505799,0.7875042383742942,0.9611127278104692,5.703061607337832,8.907489644297
93,15.211345027452577,COMPLETE,8,3,2.140646208502931,0.010334127343432737,142,0.9910279069187902,0.7887463607730852,0.9629461522495482,5.730250104798998,8.986401406543184
94,12.801472211703672,COMPLETE,8,2,1.8932230257252631,0.04841977500743572,136,0.9345616194219196,0.6904604214992976,0.9888981424270118,6.117397081104561,8.418766057910334
95,12.840991171257455,COMPLETE,9,2,2.5962441067478914,0.06782359306444204,128,0.9206641287284525,0.7734972364062845,0.9283501827635798,4.0137483411064645,9.355696484273139
96,12.81363924089381,COMPLETE,7,2,3.877632298940802,0.052333797101859106,162,0.9485483924795932,0.6559120468164523,0.9139921963055815,5.988747088482026,8.061482316944161
97,12.81102974148129,COMPLETE,8,3,2.234084940001283,0.026510548221638834,177,0.8945446458886925,0.7370081100977219,0.9566658143241665,5.246453394323464,3.6274921666423454
98,12.845893894110946,COMPLETE,7,8,1.6670936406705132,0.03492892216301494,142,0.720107220660609,0.7173131994492385,0.9400670806446609,5.596865490184907,8.592661405809553
99,12.811460138712956,COMPLETE,8,1,2.0791736763262723,0.030761303330044298,198,0.9679321948425421,0.6224557034052005,0.9739947674589561,4.847812105579565,8.871681367749193
